fact_id,scenario_id,topic,component,grain,time_label,metric,value,unit,category,aggregation,data_flag
LQH-F-00001,DEMO-LQH-01-001,综合态势,智能预警统计,固定,固定展示值,处理中,156,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00002,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,紧急告警、处理中,1,件,告警等级=紧急告警；处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00003,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,紧急告警、待处理,9,件,告警等级=紧急告警；处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00004,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,紧急告警、已完成,5,件,告警等级=紧急告警；处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00005,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,重要告警、处理中,7,件,告警等级=重要告警；处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00006,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,重要告警、待处理,6,件,告警等级=重要告警；处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00007,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,重要告警、已完成,10,件,告警等级=重要告警；处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00008,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,一般告警、处理中,5,件,告警等级=一般告警；处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00009,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,一般告警、待处理,1,件,告警等级=一般告警；处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00010,DEMO-LQH-01-002,综合态势,安防告警统计,固定,固定展示值,一般告警、已完成,2,件,告警等级=一般告警；处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00011,DEMO-LQH-01-003,综合态势,会议室使用率,固定,固定展示值,空闲中,518,间,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00012,DEMO-LQH-01-004,综合态势,人车数量统计,固定,固定展示值,员工,7956,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
