fact_id,scenario_id,period_label,topic,component,metric,value,unit,category,aggregation,data_flag
LQH-F-00021,DEMO-LQH-01-008,系统时间年度-第1月,综合态势,工单处理统计,工单数,5242,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00022,DEMO-LQH-01-008,系统时间年度-第1月,综合态势,工单处理统计,工单数,412,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00023,DEMO-LQH-01-008,系统时间年度-第1月,综合态势,工单处理统计,工单数,156,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00024,DEMO-LQH-01-008,系统时间年度-第2月,综合态势,工单处理统计,工单数,5689,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00025,DEMO-LQH-01-008,系统时间年度-第2月,综合态势,工单处理统计,工单数,385,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00026,DEMO-LQH-01-008,系统时间年度-第2月,综合态势,工单处理统计,工单数,120,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00027,DEMO-LQH-01-008,系统时间年度-第3月,综合态势,工单处理统计,工单数,5236,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00028,DEMO-LQH-01-008,系统时间年度-第3月,综合态势,工单处理统计,工单数,223,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00029,DEMO-LQH-01-008,系统时间年度-第3月,综合态势,工单处理统计,工单数,102,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00030,DEMO-LQH-01-008,系统时间年度-第4月,综合态势,工单处理统计,工单数,5963,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00031,DEMO-LQH-01-008,系统时间年度-第4月,综合态势,工单处理统计,工单数,345,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00032,DEMO-LQH-01-008,系统时间年度-第4月,综合态势,工单处理统计,工单数,230,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00033,DEMO-LQH-01-008,系统时间年度-第5月,综合态势,工单处理统计,工单数,5423,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00034,DEMO-LQH-01-008,系统时间年度-第5月,综合态势,工单处理统计,工单数,312,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00035,DEMO-LQH-01-008,系统时间年度-第5月,综合态势,工单处理统计,工单数,120,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00036,DEMO-LQH-01-008,系统时间年度-第6月,综合态势,工单处理统计,工单数,5810,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00037,DEMO-LQH-01-008,系统时间年度-第6月,综合态势,工单处理统计,工单数,285,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00038,DEMO-LQH-01-008,系统时间年度-第6月,综合态势,工单处理统计,工单数,178,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00039,DEMO-LQH-01-008,系统时间年度-第7月,综合态势,工单处理统计,工单数,6105,件,工单状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00040,DEMO-LQH-01-008,系统时间年度-第7月,综合态势,工单处理统计,工单数,452,件,工单状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00041,DEMO-LQH-01-008,系统时间年度-第7月,综合态势,工单处理统计,工单数,210,件,工单状态=已关闭,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
