fact_id,scenario_id,period_label,topic,component,metric,value,unit,category,aggregation,data_flag
LQH-F-00081,DEMO-LQH-01-012,系统时间月份-第1日,综合态势,日用能统计,本月总用气量,762.3,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00082,DEMO-LQH-01-012,系统时间月份-第1日,综合态势,日用能统计,本月总用水量,2741.5,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00083,DEMO-LQH-01-012,系统时间月份-第1日,综合态势,日用能统计,本月总用电量,1.95,GWh,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00084,DEMO-LQH-01-012,系统时间月份-第1日,综合态势,日用能统计,本月节能达成率,96.5,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00085,DEMO-LQH-01-012,系统时间月份-第2日,综合态势,日用能统计,本月总用气量,1543.1,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00086,DEMO-LQH-01-012,系统时间月份-第2日,综合态势,日用能统计,本月总用水量,5510.2,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00087,DEMO-LQH-01-012,系统时间月份-第2日,综合态势,日用能统计,本月总用电量,3.82,GWh,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00088,DEMO-LQH-01-012,系统时间月份-第2日,综合态势,日用能统计,本月节能达成率,98.2,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00089,DEMO-LQH-01-012,系统时间月份-第3日,综合态势,日用能统计,本月总用气量,2315.8,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00090,DEMO-LQH-01-012,系统时间月份-第3日,综合态势,日用能统计,本月总用水量,8295.6,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00091,DEMO-LQH-01-012,系统时间月份-第3日,综合态势,日用能统计,本月总用电量,5.91,GWh,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00092,DEMO-LQH-01-012,系统时间月份-第3日,综合态势,日用能统计,本月节能达成率,95.8,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00093,DEMO-LQH-01-012,系统时间月份-第4日,综合态势,日用能统计,本月总用气量,3088.4,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00094,DEMO-LQH-01-012,系统时间月份-第4日,综合态势,日用能统计,本月总用水量,11062.3,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00095,DEMO-LQH-01-012,系统时间月份-第4日,综合态势,日用能统计,本月总用电量,8.03,GWh,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00096,DEMO-LQH-01-012,系统时间月份-第4日,综合态势,日用能统计,本月节能达成率,99.1,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00097,DEMO-LQH-01-012,系统时间月份-第5日,综合态势,日用能统计,本月总用气量,3871.2,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00098,DEMO-LQH-01-012,系统时间月份-第5日,综合态势,日用能统计,本月总用水量,13845.8,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00099,DEMO-LQH-01-012,系统时间月份-第5日,综合态势,日用能统计,本月总用电量,9.94,GWh,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00100,DEMO-LQH-01-012,系统时间月份-第5日,综合态势,日用能统计,本月节能达成率,97.4,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00101,DEMO-LQH-01-012,系统时间月份-第6日,综合态势,日用能统计,本月总用气量,4642.5,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00102,DEMO-LQH-01-012,系统时间月份-第6日,综合态势,日用能统计,本月总用水量,16612.1,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
