topic,component,metric,common_question_terms,unit,filter_conditions,time_rule,aggregation
综合态势,智能预警统计,处理中,处理中；智能预警统计,件,,固定展示值。,当期
综合态势,安防告警统计,紧急告警、处理中,紧急告警、处理中；安防告警统计,件,告警等级=紧急告警；处理状态=处理中,固定展示值。,当期
综合态势,安防告警统计,紧急告警、待处理,紧急告警、待处理；安防告警统计,件,告警等级=紧急告警；处理状态=待处理,固定展示值。,当期
综合态势,安防告警统计,紧急告警、已完成,紧急告警、已完成；安防告警统计,件,告警等级=紧急告警；处理状态=已完成,固定展示值。,当期
综合态势,安防告警统计,重要告警、处理中,重要告警、处理中；安防告警统计,件,告警等级=重要告警；处理状态=处理中,固定展示值。,当期
综合态势,安防告警统计,重要告警、待处理,重要告警、待处理；安防告警统计,件,告警等级=重要告警；处理状态=待处理,固定展示值。,当期
综合态势,安防告警统计,重要告警、已完成,重要告警、已完成；安防告警统计,件,告警等级=重要告警；处理状态=已完成,固定展示值。,当期
综合态势,安防告警统计,一般告警、处理中,一般告警、处理中；安防告警统计,件,告警等级=一般告警；处理状态=处理中,固定展示值。,当期
综合态势,安防告警统计,一般告警、待处理,一般告警、待处理；安防告警统计,件,告警等级=一般告警；处理状态=待处理,固定展示值。,当期
综合态势,安防告警统计,一般告警、已完成,一般告警、已完成；安防告警统计,件,告警等级=一般告警；处理状态=已完成,固定展示值。,当期
综合态势,会议室使用率,空闲中,空闲中；会议室使用率,间,,固定展示值。,当期
综合态势,人车数量统计,车辆总数,车辆总数；人车数量统计,辆,,固定展示值。,当期
综合态势,智能预警统计,已处理,已处理；智能预警统计,件,,固定展示值。,当期
综合态势,会议室使用率,使用中,使用中；会议室使用率,个,,固定展示值。,当期
综合态势,人车数量统计,安保,安保；人车数量统计,人,,固定展示值。,当期
综合态势,人车数量统计,总人数,总人数；人车数量统计,人,,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团A；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团A；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团B；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团B；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团C；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团C；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团D；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团D；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团E；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团E；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团F；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团F；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团G；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团G；车位类型=新能源车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团H；车位类型=普通车位,固定展示值。,当期
综合态势,车位使用率,使用率,使用率；车位使用率；利用率,%,区域=组团H；车位类型=新能源车位,固定展示值。,当期
综合态势,专题预警统计,综合安防,综合安防；专题预警统计,个,类别=综合安防,固定展示值。,当期
综合态势,专题预警统计,便捷通行,便捷通行；专题预警统计,个,类别=便捷通行,固定展示值。,当期
综合态势,专题预警统计,网络管理,网络管理；专题预警统计,个,类别=网络管理,固定展示值。,当期
综合态势,专题预警统计,能源管理,能源管理；专题预警统计,个,类别=能源管理,固定展示值。,当期
综合态势,专题预警统计,设备管理,设备管理；专题预警统计,个,类别=设备管理,固定展示值。,当期
综合态势,专题预警统计,环境空间,环境空间；专题预警统计,个,类别=环境空间,固定展示值。,当期
综合态势,专题预警统计,资产管理,资产管理；专题预警统计,个,类别=资产管理,固定展示值。,当期
综合态势,智能预警统计,待处理,待处理；智能预警统计,件,,固定展示值。,当期
综合态势,资产分类统计,实验仪器,实验仪器；资产分类统计,台,类别=实验仪器,固定展示值。,当期
综合态势,资产分类统计,IT及计算机,IT及计算机；资产分类统计,台,类别=IT及计算机,固定展示值。,当期
综合态势,资产分类统计,办公设备,办公设备；资产分类统计,台,类别=办公设备,固定展示值。,当期
综合态势,资产分类统计,其他配套,其他配套；资产分类统计,台,类别=其他配套,固定展示值。,当期
综合安防,安防告警,枪机,枪机；安防告警,件,设备类型=枪机,固定展示值。,当期
综合安防,安防告警,球机,球机；安防告警,件,设备类型=球机,固定展示值。,当期
综合安防,安防告警,筒机,筒机；安防告警,件,设备类型=筒机,固定展示值。,当期
综合安防,安防告警,半球,半球；安防告警,件,设备类型=半球,固定展示值。,当期
综合安防,安防告警,已处理,已处理；安防告警,件,,固定展示值。,当期
综合安防,安防告警,已执行,已执行；安防告警,个,,固定展示值。,当期
综合安防,安防告警,总次数,总次数；安防告警,件,,固定展示值。,当期
综合安防,安防告警,机器人执行率,机器人执行率；安防告警,%,,固定展示值。,当期
综合安防,视频设备状态,离线数,离线数；视频设备状态,个,,固定展示值。,当期
综合安防,安防告警,告警平均响应速度,告警平均响应速度；安防告警,分钟,,固定展示值。,当期
综合安防,安防告警,总数量,总数量；安防告警,件,,固定展示值。,当期
综合安防,安防告警,组团E,组团E；安防告警,件,区域=组团E,固定展示值。,当期
综合安防,安防告警,组团D,组团D；安防告警,件,区域=组团D,固定展示值。,当期
综合安防,安防告警,组团A,组团A；安防告警,件,区域=组团A,固定展示值。,当期
综合安防,安防告警,组团F,组团F；安防告警,件,区域=组团F,固定展示值。,当期
综合安防,安防告警,组团C,组团C；安防告警,件,区域=组团C,固定展示值。,当期
综合安防,安防告警,未处理,未处理；安防告警,个,,固定展示值。,当期
综合安防,巡更管理,已执行,已执行；巡更管理,个,,固定展示值。,当期
综合安防,巡更管理,总次数,总次数；巡更管理,件,,固定展示值。,当期
综合安防,巡更管理,视频巡更执行率,视频巡更执行率；巡更管理,%,,固定展示值。,当期
综合安防,视频设备状态,在线数,在线数；视频设备状态,个,,固定展示值。,当期
综合安防,安防工单,工单平均响应速度,工单平均响应速度；安防工单,分钟,,固定展示值。,当期
综合安防,安防告警,处理中,处理中；安防告警,件,,固定展示值。,当期
综合安防,安防告警,已完成,已完成；安防告警,件,,固定展示值。,当期
综合安防,安防告警,待处理,待处理；安防告警,件,,固定展示值。,当期
综合安防,安防告警,告警总数,告警总数；安防告警,件,,固定展示值。,当期
综合安防,安防工单,工单总数,工单总数；安防工单,件,,固定展示值。,当期
综合安防,安防告警,组团 A,组团 A；安防告警,个,区=组团 A,固定展示值。,当期
综合安防,安防告警,组团 B,组团 B；安防告警,个,区=组团 B,固定展示值。,当期
综合安防,安防告警,组团 C,组团 C；安防告警,个,区=组团 C,固定展示值。,当期
综合安防,安防告警,组团 D,组团 D；安防告警,个,区=组团 D,固定展示值。,当期
综合安防,安防告警,组团 E,组团 E；安防告警,个,区=组团 E,固定展示值。,当期
综合安防,安防告警,组团 F,组团 F；安防告警,个,区=组团 F,固定展示值。,当期
综合安防,安防告警,组团 G,组团 G；安防告警,个,区=组团 G,固定展示值。,当期
综合安防,安防告警,组团 H,组团 H；安防告警,个,区=组团 H,固定展示值。,当期
综合安防,安防告警,视频巡更告警,视频巡更告警；安防告警,个,告警类别=视频巡更告警,固定展示值。,当期
综合安防,安防告警,机器人巡更,机器人巡更；安防告警,个,告警类别=机器人巡更,固定展示值。,当期
综合安防,安防告警,涉水告警,涉水告警；安防告警,个,告警类别=涉水告警,固定展示值。,当期
综合安防,安防告警,消防告警,消防告警；安防告警,个,告警类别=消防告警,固定展示值。,当期
综合安防,安防告警,其他告警,其他告警；安防告警,个,告警类别=其他告警,固定展示值。,当期
便捷通行,人员通行,工卡通行,工卡通行；人员通行,个,,固定展示值。,当期
便捷通行,通行设备健康,人行闸机健康度,人行闸机健康度；通行设备健康,%,类别=人行闸机,固定展示值。,当期
便捷通行,通行设备健康,车辆道闸健康度,车辆道闸健康度；通行设备健康,%,类别=车辆道闸,固定展示值。,当期
便捷通行,通行设备健康,门禁终端健康度,门禁终端健康度；通行设备健康,%,类别=门禁终端,固定展示值。,当期
便捷通行,通行设备健康,车位感知健康度,车位感知健康度；通行设备健康,%,类别=车位感知,固定展示值。,当期
便捷通行,停车与车辆,普通车位数,普通车位数；停车与车辆,位,,固定展示值。,当期
便捷通行,停车与车辆,车位使用率,车位使用率；停车与车辆,%,,固定展示值。,当期
便捷通行,停车与车辆,新能源车位数,新能源车位数；停车与车辆,个,,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团A；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团A；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团B；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团B；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团C；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团C；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团D；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团D；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团E；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团E；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团F；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团F；车位类型=新能源车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团G；车位类型=普通车位,固定展示值。,当期
便捷通行,停车与车辆,使用率,使用率；停车与车辆；利用率,%,区域=组团G；车位类型=新能源车位,固定展示值。,当期
