fact_id,scenario_id,period_label,topic,component,metric,value,unit,category,aggregation,data_flag
LQH-F-00310,DEMO-LQH-04-005,系统时间月份-第1日,资产管理,资产告警处理趋势,已完成,15,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00311,DEMO-LQH-04-005,系统时间月份-第1日,资产管理,资产告警处理趋势,处理中,5,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00312,DEMO-LQH-04-005,系统时间月份-第1日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00313,DEMO-LQH-04-005,系统时间月份-第2日,资产管理,资产告警处理趋势,已完成,12,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00314,DEMO-LQH-04-005,系统时间月份-第2日,资产管理,资产告警处理趋势,处理中,4,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00315,DEMO-LQH-04-005,系统时间月份-第2日,资产管理,资产告警处理趋势,待处理,1,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00316,DEMO-LQH-04-005,系统时间月份-第3日,资产管理,资产告警处理趋势,已完成,18,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00317,DEMO-LQH-04-005,系统时间月份-第3日,资产管理,资产告警处理趋势,处理中,6,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00318,DEMO-LQH-04-005,系统时间月份-第3日,资产管理,资产告警处理趋势,待处理,3,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00319,DEMO-LQH-04-005,系统时间月份-第4日,资产管理,资产告警处理趋势,已完成,20,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00320,DEMO-LQH-04-005,系统时间月份-第4日,资产管理,资产告警处理趋势,处理中,7,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00321,DEMO-LQH-04-005,系统时间月份-第4日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00322,DEMO-LQH-04-005,系统时间月份-第5日,资产管理,资产告警处理趋势,已完成,16,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00323,DEMO-LQH-04-005,系统时间月份-第5日,资产管理,资产告警处理趋势,处理中,5,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00324,DEMO-LQH-04-005,系统时间月份-第5日,资产管理,资产告警处理趋势,待处理,1,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00325,DEMO-LQH-04-005,系统时间月份-第6日,资产管理,资产告警处理趋势,已完成,14,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00326,DEMO-LQH-04-005,系统时间月份-第6日,资产管理,资产告警处理趋势,处理中,4,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00327,DEMO-LQH-04-005,系统时间月份-第6日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00328,DEMO-LQH-04-005,系统时间月份-第7日,资产管理,资产告警处理趋势,已完成,11,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00329,DEMO-LQH-04-005,系统时间月份-第7日,资产管理,资产告警处理趋势,处理中,3,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00330,DEMO-LQH-04-005,系统时间月份-第7日,资产管理,资产告警处理趋势,待处理,1,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00331,DEMO-LQH-04-005,系统时间月份-第8日,资产管理,资产告警处理趋势,已完成,19,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00332,DEMO-LQH-04-005,系统时间月份-第8日,资产管理,资产告警处理趋势,处理中,6,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00333,DEMO-LQH-04-005,系统时间月份-第8日,资产管理,资产告警处理趋势,待处理,3,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00334,DEMO-LQH-04-005,系统时间月份-第9日,资产管理,资产告警处理趋势,已完成,22,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00335,DEMO-LQH-04-005,系统时间月份-第9日,资产管理,资产告警处理趋势,处理中,8,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00336,DEMO-LQH-04-005,系统时间月份-第9日,资产管理,资产告警处理趋势,待处理,4,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00337,DEMO-LQH-04-005,系统时间月份-第10日,资产管理,资产告警处理趋势,已完成,17,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00338,DEMO-LQH-04-005,系统时间月份-第10日,资产管理,资产告警处理趋势,处理中,5,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00339,DEMO-LQH-04-005,系统时间月份-第10日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00340,DEMO-LQH-04-005,系统时间月份-第11日,资产管理,资产告警处理趋势,已完成,13,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00341,DEMO-LQH-04-005,系统时间月份-第11日,资产管理,资产告警处理趋势,处理中,4,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00342,DEMO-LQH-04-005,系统时间月份-第11日,资产管理,资产告警处理趋势,待处理,1,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00343,DEMO-LQH-04-005,系统时间月份-第12日,资产管理,资产告警处理趋势,已完成,15,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00344,DEMO-LQH-04-005,系统时间月份-第12日,资产管理,资产告警处理趋势,处理中,6,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00345,DEMO-LQH-04-005,系统时间月份-第12日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00346,DEMO-LQH-04-005,系统时间月份-第13日,资产管理,资产告警处理趋势,已完成,21,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00347,DEMO-LQH-04-005,系统时间月份-第13日,资产管理,资产告警处理趋势,处理中,7,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00348,DEMO-LQH-04-005,系统时间月份-第13日,资产管理,资产告警处理趋势,待处理,3,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00349,DEMO-LQH-04-005,系统时间月份-第14日,资产管理,资产告警处理趋势,已完成,16,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00350,DEMO-LQH-04-005,系统时间月份-第14日,资产管理,资产告警处理趋势,处理中,5,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00351,DEMO-LQH-04-005,系统时间月份-第14日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00352,DEMO-LQH-04-005,系统时间月份-第15日,资产管理,资产告警处理趋势,已完成,18,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00353,DEMO-LQH-04-005,系统时间月份-第15日,资产管理,资产告警处理趋势,处理中,6,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00354,DEMO-LQH-04-005,系统时间月份-第15日,资产管理,资产告警处理趋势,待处理,1,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00355,DEMO-LQH-04-005,系统时间月份-第16日,资产管理,资产告警处理趋势,已完成,14,台,告警处理状态=已完成,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00356,DEMO-LQH-04-005,系统时间月份-第16日,资产管理,资产告警处理趋势,处理中,4,台,告警处理状态=处理中,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00357,DEMO-LQH-04-005,系统时间月份-第16日,资产管理,资产告警处理趋势,待处理,2,台,告警处理状态=待处理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
