fact_id,scenario_id,time_label,topic,component,metric,value,unit,category,aggregation,data_flag
LQH-F-00405,DEMO-LQH-05-002,系统时间日期-01:00:00,设施管理,设施工单,工单数量,56,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00406,DEMO-LQH-05-002,系统时间日期-02:00:00,设施管理,设施工单,工单数量,78,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00407,DEMO-LQH-05-002,系统时间日期-03:00:00,设施管理,设施工单,工单数量,45,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00408,DEMO-LQH-05-002,系统时间日期-04:00:00,设施管理,设施工单,工单数量,89,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00409,DEMO-LQH-05-002,系统时间日期-05:00:00,设施管理,设施工单,工单数量,112,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00410,DEMO-LQH-05-002,系统时间日期-06:00:00,设施管理,设施工单,工单数量,134,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00411,DEMO-LQH-05-002,系统时间日期-07:00:00,设施管理,设施工单,工单数量,67,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00412,DEMO-LQH-05-002,系统时间日期-08:00:00,设施管理,设施工单,工单数量,54,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00413,DEMO-LQH-05-002,系统时间日期-09:00:00,设施管理,设施工单,工单数量,98,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00414,DEMO-LQH-05-002,系统时间日期-10:00:00,设施管理,设施工单,工单数量,120,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00415,DEMO-LQH-05-002,系统时间日期-11:00:00,设施管理,设施工单,工单数量,145,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00416,DEMO-LQH-05-002,系统时间日期-12:00:00,设施管理,设施工单,工单数量,132,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00417,DEMO-LQH-05-002,系统时间日期-13:00:00,设施管理,设施工单,工单数量,88,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00418,DEMO-LQH-05-002,系统时间日期-14:00:00,设施管理,设施工单,工单数量,76,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00419,DEMO-LQH-05-002,系统时间日期-15:00:00,设施管理,设施工单,工单数量,105,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00420,DEMO-LQH-05-002,系统时间日期-16:00:00,设施管理,设施工单,工单数量,118,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00421,DEMO-LQH-05-002,系统时间日期-17:00:00,设施管理,设施工单,工单数量,156,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00422,DEMO-LQH-05-002,系统时间日期-18:00:00,设施管理,设施工单,工单数量,142,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00423,DEMO-LQH-05-002,系统时间日期-19:00:00,设施管理,设施工单,工单数量,95,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00424,DEMO-LQH-05-002,系统时间日期-20:00:00,设施管理,设施工单,工单数量,82,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00425,DEMO-LQH-05-002,系统时间日期-21:00:00,设施管理,设施工单,工单数量,110,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00426,DEMO-LQH-05-002,系统时间日期-22:00:00,设施管理,设施工单,工单数量,125,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00427,DEMO-LQH-05-002,系统时间日期-23:00:00,设施管理,设施工单,工单数量,168,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00428,DEMO-LQH-05-002,系统时间日期-24:00:00,设施管理,设施工单,工单数量,150,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00429,DEMO-LQH-05-002,系统时间日期-25:00:00,设施管理,设施工单,工单数量,102,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00430,DEMO-LQH-05-002,系统时间日期-26:00:00,设施管理,设施工单,工单数量,90,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00431,DEMO-LQH-05-002,系统时间日期-27:00:00,设施管理,设施工单,工单数量,135,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00432,DEMO-LQH-05-002,系统时间日期-28:00:00,设施管理,设施工单,工单数量,148,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00433,DEMO-LQH-05-002,系统时间日期-29:00:00,设施管理,设施工单,工单数量,175,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00434,DEMO-LQH-05-002,系统时间日期-30:00:00,设施管理,设施工单,工单数量,160,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00435,DEMO-LQH-05-002,系统时间日期-31:00:00,设施管理,设施工单,工单数量,115,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00444,DEMO-LQH-05-005,系统时间日期-01:00:00,设施管理,设施告警,告警数,121,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00445,DEMO-LQH-05-005,系统时间日期-02:00:00,设施管理,设施告警,告警数,135,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00446,DEMO-LQH-05-005,系统时间日期-03:00:00,设施管理,设施告警,告警数,89,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00447,DEMO-LQH-05-005,系统时间日期-04:00:00,设施管理,设施告警,告警数,156,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00448,DEMO-LQH-05-005,系统时间日期-05:00:00,设施管理,设施告警,告警数,198,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00449,DEMO-LQH-05-005,系统时间日期-06:00:00,设施管理,设施告警,告警数,174,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00450,DEMO-LQH-05-005,系统时间日期-07:00:00,设施管理,设施告警,告警数,112,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00451,DEMO-LQH-05-005,系统时间日期-08:00:00,设施管理,设施告警,告警数,95,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00452,DEMO-LQH-05-005,系统时间日期-09:00:00,设施管理,设施告警,告警数,142,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00453,DEMO-LQH-05-005,系统时间日期-10:00:00,设施管理,设施告警,告警数,168,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00454,DEMO-LQH-05-005,系统时间日期-11:00:00,设施管理,设施告警,告警数,182,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00455,DEMO-LQH-05-005,系统时间日期-12:00:00,设施管理,设施告警,告警数,144,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00456,DEMO-LQH-05-005,系统时间日期-13:00:00,设施管理,设施告警,告警数,130,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00457,DEMO-LQH-05-005,系统时间日期-14:00:00,设施管理,设施告警,告警数,115,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00458,DEMO-LQH-05-005,系统时间日期-15:00:00,设施管理,设施告警,告警数,177,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00459,DEMO-LQH-05-005,系统时间日期-16:00:00,设施管理,设施告警,告警数,189,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00460,DEMO-LQH-05-005,系统时间日期-17:00:00,设施管理,设施告警,告警数,165,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00461,DEMO-LQH-05-005,系统时间日期-18:00:00,设施管理,设施告警,告警数,143,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00462,DEMO-LQH-05-005,系统时间日期-19:00:00,设施管理,设施告警,告警数,128,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00463,DEMO-LQH-05-005,系统时间日期-20:00:00,设施管理,设施告警,告警数,109,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00464,DEMO-LQH-05-005,系统时间日期-21:00:00,设施管理,设施告警,告警数,154,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00465,DEMO-LQH-05-005,系统时间日期-22:00:00,设施管理,设施告警,告警数,176,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00466,DEMO-LQH-05-005,系统时间日期-23:00:00,设施管理,设施告警,告警数,138,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00467,DEMO-LQH-05-005,系统时间日期-24:00:00,设施管理,设施告警,告警数,122,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00468,DEMO-LQH-05-005,系统时间日期-25:00:00,设施管理,设施告警,告警数,110,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00469,DEMO-LQH-05-005,系统时间日期-26:00:00,设施管理,设施告警,告警数,148,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00470,DEMO-LQH-05-005,系统时间日期-27:00:00,设施管理,设施告警,告警数,166,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00471,DEMO-LQH-05-005,系统时间日期-28:00:00,设施管理,设施告警,告警数,184,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00472,DEMO-LQH-05-005,系统时间日期-29:00:00,设施管理,设施告警,告警数,192,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00473,DEMO-LQH-05-005,系统时间日期-30:00:00,设施管理,设施告警,告警数,155,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00474,DEMO-LQH-05-005,系统时间日期-31:00:00,设施管理,设施告警,告警数,133,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00492,DEMO-LQH-05-011,系统时间日期-01:00:00,设施管理,设施运行,时长,12,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00493,DEMO-LQH-05-011,系统时间日期-02:00:00,设施管理,设施运行,时长,15,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00494,DEMO-LQH-05-011,系统时间日期-03:00:00,设施管理,设施运行,时长,8,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00495,DEMO-LQH-05-011,系统时间日期-04:00:00,设施管理,设施运行,时长,22,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00496,DEMO-LQH-05-011,系统时间日期-05:00:00,设施管理,设施运行,时长,18,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00497,DEMO-LQH-05-011,系统时间日期-06:00:00,设施管理,设施运行,时长,5,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00498,DEMO-LQH-05-011,系统时间日期-07:00:00,设施管理,设施运行,时长,9,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00499,DEMO-LQH-05-011,系统时间日期-08:00:00,设施管理,设施运行,时长,14,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00500,DEMO-LQH-05-011,系统时间日期-09:00:00,设施管理,设施运行,时长,20,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00501,DEMO-LQH-05-011,系统时间日期-10:00:00,设施管理,设施运行,时长,11,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00502,DEMO-LQH-05-011,系统时间日期-11:00:00,设施管理,设施运行,时长,16,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00503,DEMO-LQH-05-011,系统时间日期-12:00:00,设施管理,设施运行,时长,7,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00504,DEMO-LQH-05-011,系统时间日期-13:00:00,设施管理,设施运行,时长,19,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00505,DEMO-LQH-05-011,系统时间日期-14:00:00,设施管理,设施运行,时长,13,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00506,DEMO-LQH-05-011,系统时间日期-15:00:00,设施管理,设施运行,时长,10,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00507,DEMO-LQH-05-011,系统时间日期-16:00:00,设施管理,设施运行,时长,21,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00508,DEMO-LQH-05-011,系统时间日期-17:00:00,设施管理,设施运行,时长,17,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00509,DEMO-LQH-05-011,系统时间日期-18:00:00,设施管理,设施运行,时长,6,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00510,DEMO-LQH-05-011,系统时间日期-19:00:00,设施管理,设施运行,时长,23,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00511,DEMO-LQH-05-011,系统时间日期-20:00:00,设施管理,设施运行,时长,15,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00512,DEMO-LQH-05-011,系统时间日期-21:00:00,设施管理,设施运行,时长,12,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00513,DEMO-LQH-05-011,系统时间日期-22:00:00,设施管理,设施运行,时长,8,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00514,DEMO-LQH-05-011,系统时间日期-23:00:00,设施管理,设施运行,时长,20,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00515,DEMO-LQH-05-011,系统时间日期-24:00:00,设施管理,设施运行,时长,14,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00516,DEMO-LQH-05-011,系统时间日期-25:00:00,设施管理,设施运行,时长,9,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00517,DEMO-LQH-05-011,系统时间日期-26:00:00,设施管理,设施运行,时长,18,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00518,DEMO-LQH-05-011,系统时间日期-27:00:00,设施管理,设施运行,时长,11,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00519,DEMO-LQH-05-011,系统时间日期-28:00:00,设施管理,设施运行,时长,24,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00520,DEMO-LQH-05-011,系统时间日期-29:00:00,设施管理,设施运行,时长,16,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00521,DEMO-LQH-05-011,系统时间日期-30:00:00,设施管理,设施运行,时长,10,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00522,DEMO-LQH-05-011,系统时间日期-31:00:00,设施管理,设施运行,时长,13,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00620,DEMO-LQH-06-002,系统时间日期-01:00:00,能源管理,光伏收益,收益,1.85,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00621,DEMO-LQH-06-002,系统时间日期-02:00:00,能源管理,光伏收益,收益,2.1,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00622,DEMO-LQH-06-002,系统时间日期-03:00:00,能源管理,光伏收益,收益,0.95,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00623,DEMO-LQH-06-002,系统时间日期-04:00:00,能源管理,光伏收益,收益,1.92,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00624,DEMO-LQH-06-002,系统时间日期-05:00:00,能源管理,光伏收益,收益,2.15,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00625,DEMO-LQH-06-002,系统时间日期-06:00:00,能源管理,光伏收益,收益,2.21,元,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00626,DEMO-LQH-06-004,系统时间日期-06:00:00,能源管理,充电桩运行,负荷,48,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00627,DEMO-LQH-06-004,系统时间日期-07:00:00,能源管理,充电桩运行,负荷,580,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00628,DEMO-LQH-06-004,系统时间日期-08:00:00,能源管理,充电桩运行,负荷,1850,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00629,DEMO-LQH-06-004,系统时间日期-09:00:00,能源管理,充电桩运行,负荷,3120,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00630,DEMO-LQH-06-004,系统时间日期-10:00:00,能源管理,充电桩运行,负荷,4950,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00631,DEMO-LQH-06-004,系统时间日期-11:00:00,能源管理,充电桩运行,负荷,5800,kW,负荷类型=逆变器实际功率,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
