event_id,scenario_id,time_label,topic,component,location,event_type,status,detail,data_flag
LQH-E-0001,DEMO-LQH-02-001,系统时间事件-19:23:23,综合安防,安防告警,A区J03,机器人员巡更,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0002,DEMO-LQH-02-001,系统时间事件-09:23:23,综合安防,安防告警,B区J03,视频周界,未处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0003,DEMO-LQH-02-001,系统时间事件-09:23:23,综合安防,安防告警,H区J04,设备告警,处理中,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0004,DEMO-LQH-02-001,系统时间事件-09:23:23,综合安防,安防告警,L区J03,通行告警,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0005,DEMO-LQH-02-001,系统时间事件-09:23:23,综合安防,安防告警,M区J022,能耗告警,未处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0006,DEMO-LQH-03-002,系统时间事件-08:15:22,便捷通行,通行告警,D区,权限过期,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0007,DEMO-LQH-03-002,系统时间事件-08:52:10,便捷通行,通行告警,A区,设备故障,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0008,DEMO-LQH-03-002,系统时间事件-09:34:05,便捷通行,通行告警,E区,违停,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0009,DEMO-LQH-03-002,系统时间事件-10:12:45,便捷通行,通行告警,B区,其它,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-E-0010,DEMO-LQH-03-002,系统时间事件-10:58:30,便捷通行,通行告警,F区,违停,已处理,系统事件记录,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
